p,m,sigma,rep,inhull,s_type,first_extinction
1,10,NA,352,NA,2,245.2746
1,10,NA,353,NA,1,277.8404
1,10,NA,353,NA,2,277.8404
1,10,NA,354,NA,1,79.974
1,10,NA,354,NA,2,79.974
1,10,NA,355,NA,1,177.69
1,10,NA,355,NA,2,177.69
1,10,NA,356,NA,1,100.5618
1,10,NA,356,NA,2,100.5618
1,10,NA,357,NA,1,244.2818
1,10,NA,357,NA,2,244.2818
1,10,NA,358,NA,1,104.66
1,10,NA,358,NA,2,104.66
1,10,NA,359,NA,1,207.3346
1,10,NA,359,NA,2,207.3346
1,10,NA,360,NA,1,201.7236
1,10,NA,360,NA,2,201.7236
1,10,NA,361,NA,1,181.5564
1,10,NA,361,NA,2,181.5564
1,10,NA,362,NA,1,299.773
1,10,NA,362,NA,2,299.773
1,10,NA,363,NA,1,127.121
1,10,NA,363,NA,2,127.121
1,10,NA,364,NA,1,310.1108
1,10,NA,364,NA,2,310.1108
1,10,NA,365,NA,1,153.069
1,10,NA,365,NA,2,153.069
1,10,NA,366,NA,1,139.9982
1,10,NA,366,NA,2,139.9982
1,10,NA,367,NA,1,220.3896
1,10,NA,367,NA,2,220.3896
1,10,NA,368,NA,1,289.0942
1,10,NA,368,NA,2,289.0942
1,10,NA,369,NA,1,315.0564
1,10,NA,369,NA,2,315.0564
